,hierarchical,hierarchical_sd,flat_baseline,flat_baseline_sd,no_imbalance,no_imbalance_sd,stain_norm,stain_norm_sd,hier-flat,hier-noimb
Typical lymphocytes,0.9372,0.0036,0.9341,0.0026,0.9423,0.0044,0.9344,0.0006,0.0031,-0.0051
Hairy cells,0.9819,0.0026,0.9835,0.0006,0.9865,0.0006,0.9842,0.0021,-0.0016,-0.0046
Large granular lymphocytes,0.9189,0.0043,0.9184,0.0037,0.927,0.0034,0.92,0.0084,0.0005,-0.0081
Atypical lymphocytes (plasma cells),0.9946,0.0012,0.9946,0.0012,0.996,0.0,0.994,0.0,0.0,-0.0014
Smudge cells,0.9601,0.0039,0.9637,0.007,0.9621,0.0034,0.9589,0.007,-0.0036,-0.002
Neoplastic lymphocytes,0.7391,0.0166,0.6887,0.0331,0.6035,0.0508,0.6802,0.0228,0.0504,0.1356
Reactive lymphocytes,0.43,0.0308,0.3602,0.0909,0.3704,0.1283,0.4069,0.0375,0.0698,0.0596
Myeloblasts,0.9863,0.0006,0.9854,0.002,0.9893,0.0008,0.9827,0.0012,0.0009,-0.003
Promyelocytes,0.8396,0.0131,0.8528,0.0147,0.8558,0.0048,0.8491,0.0209,-0.0132,-0.0162
Atypical promyelocytes,0.988,0.001,0.9875,0.0025,0.9902,0.0,0.9848,0.001,0.0005,-0.0022
Myelocytes,0.7396,0.0152,0.7548,0.0156,0.7604,0.0111,0.7112,0.0238,-0.0152,-0.0208
Metamyelocytes,0.6774,0.0116,0.6761,0.0249,0.7051,0.0226,0.6607,0.0144,0.0013,-0.0277
Band neutrophils,0.7535,0.0205,0.7595,0.0133,0.7466,0.0218,0.744,0.01,-0.006,0.0069
Segmented neutrophils,0.9842,0.0005,0.9844,0.0019,0.9839,0.0005,0.9845,0.0007,-0.0002,0.0003
Eosinophil granulocytes,0.9909,0.0008,0.9904,0.0024,0.9927,0.0008,0.99,0.0008,0.0005,-0.0018
Basophil granulocytes,0.9819,0.0084,0.9819,0.0082,0.9834,0.0,0.9764,0.0136,0.0,-0.0015
Monocytes,0.9395,0.0006,0.9391,0.0048,0.9384,0.0033,0.9364,0.0034,0.0004,0.0011
Normoblasts,0.9827,0.0034,0.981,0.0018,0.9865,0.0025,0.9871,0.0016,0.0017,-0.0038
