class_name,f1,f1_sd,recall,precision
Typical lymphocytes,0.9423,0.0044,0.9546,0.9303
Hairy cells,0.9865,0.0006,0.9952,0.9779
Large granular lymphocytes,0.927,0.0034,0.9209,0.9332
Atypical lymphocytes (plasma cells),0.996,0.0,0.996,0.996
Smudge cells,0.9621,0.0034,0.9437,0.9813
Neoplastic lymphocytes,0.6035,0.0508,0.5309,0.7053
Reactive lymphocytes,0.3704,0.1283,0.3333,0.4167
Myeloblasts,0.9893,0.0008,0.9897,0.9889
Promyelocytes,0.8558,0.0048,0.8214,0.8933
Atypical promyelocytes,0.9902,0.0,0.9989,0.9817
Myelocytes,0.7604,0.0111,0.7887,0.7346
Metamyelocytes,0.7051,0.0226,0.6806,0.7327
Band neutrophils,0.7466,0.0218,0.7152,0.781
Segmented neutrophils,0.9839,0.0005,0.9935,0.9745
Eosinophil granulocytes,0.9927,0.0008,0.9882,0.9973
Basophil granulocytes,0.9834,0.0,0.9674,1.0
Monocytes,0.9384,0.0033,0.9222,0.9551
Normoblasts,0.9865,0.0025,0.9753,0.9978
