class_name,f1,f1_sd,recall,precision
Typical lymphocytes,0.9344,0.0006,0.9273,0.9418
Hairy cells,0.9842,0.0021,0.9932,0.9753
Large granular lymphocytes,0.92,0.0084,0.9376,0.9032
Atypical lymphocytes (plasma cells),0.994,0.0,0.996,0.992
Smudge cells,0.9589,0.007,0.9459,0.9723
Neoplastic lymphocytes,0.6802,0.0228,0.7654,0.6162
Reactive lymphocytes,0.4069,0.0375,0.5333,0.3333
Myeloblasts,0.9827,0.0012,0.9819,0.9834
Promyelocytes,0.8491,0.0209,0.8452,0.8531
Atypical promyelocytes,0.9848,0.001,0.9891,0.9805
Myelocytes,0.7112,0.0238,0.7054,0.7182
Metamyelocytes,0.6607,0.0144,0.6852,0.6384
Band neutrophils,0.744,0.01,0.7476,0.741
Segmented neutrophils,0.9845,0.0007,0.987,0.9821
Eosinophil granulocytes,0.99,0.0008,0.9846,0.9954
Basophil granulocytes,0.9764,0.0136,0.9746,0.9783
Monocytes,0.9364,0.0034,0.9178,0.9558
Normoblasts,0.9871,0.0016,0.9807,0.9935
