arm,backbone,mode,use_hierarchy,use_imbalance,stain_norm,seed,epochs,batch_size,lr,weight_decay,warmup_epochs,label_smoothing,aug_policy,mix_kind,mix_prob,mix_alpha,limit_train,early_stop_patience,run_id,best_epoch,epochs_run,total_minutes,val_macro_f1,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_balanced_accuracy,test_minority_macro_f1,test_minority_recall,test_minority_n,test_correct,test_within_lineage_error,test_cross_lineage_error,test_within_error_share,test_lineage_accuracy,test_head_lineage_accuracy,test_head_lineage_macro_f1
screen_mobilenet,mobilenet,hier,True,True,False,0,6,64,0.0003,0.05,1,0.05,basic,none,0.5,0.2,,6,screen_mobilenet__mobilenet__seed0,5,6,17.99,0.8391680091117543,0.9468289557975657,0.859811993208558,0.896807516374917,0.864980986011599,0.896807516374917,0.8660708856620106,0.8277355933203601,671,0.9468289557975657,0.0379564381806534,0.0152146060217809,0.713855421686747,0.9847853939782192,0.9857463164638052,0.9824809341754848
screen_resnet,resnet,hier,True,True,False,0,6,64,0.0003,0.05,1,0.05,basic,none,0.5,0.2,,6,screen_resnet__resnet__seed0,5,6,44.87,0.8352638199554002,0.9460281870595773,0.8409738822071114,0.875707646202208,0.8501266642731964,0.875707646202208,0.8162161392167187,0.7706797987949054,671,0.9460281870595773,0.0377962844330557,0.016175528507367,0.7002967359050445,0.983824471492633,0.9841447789878284,0.9798729887709102
screen_convnext,convnext,hier,True,True,False,0,6,64,0.0003,0.05,1,0.05,basic,none,0.5,0.2,,6,screen_convnext__convnext__seed0,5,6,89.66,0.8460549960009123,0.9469891095451634,0.853637610660074,0.8952033549718009,0.8676140674860534,0.8952033549718009,0.8464333901065264,0.8191876717744699,671,0.9469891095451634,0.0373158231902626,0.0156950672645739,0.7039274924471299,0.984304932735426,0.9836643177450352,0.9781458955497806
screen_vit,vit,hier,True,True,False,0,6,64,0.0003,0.05,1,0.05,basic,none,0.5,0.2,,6,screen_vit__vit__seed0,5,6,25.83,0.8488802897552635,0.9437860345932096,0.8562704621491114,0.8783832630329772,0.8641740321893132,0.8783832630329772,0.8247630219357185,0.7803517134808028,671,0.9437860345932096,0.0389173606662395,0.0172966047405509,0.6923076923076923,0.982703395259449,0.9830237027546443,0.9782796491676652
flat_baseline,vit,flat,False,True,False,0,50,64,0.0003,0.05,1,0.05,basic,none,0.5,0.2,,6,flat_baseline__vit__seed0,7,14,31.26,0.8110952603566562,0.91944266495836,0.8354667320873399,0.8577810236110779,0.8377737308137064,0.8577810236110779,0.8138532526011819,0.7698032963690942,671,0.91944266495836,0.0592568866111467,0.0213004484304932,0.73558648111332,0.9786995515695068,0.9786995515695068,0.9741918029779782
flat_baseline,vit,flat,False,True,False,1,50,64,0.0003,0.05,1,0.05,basic,none,0.5,0.2,,6,flat_baseline__vit__seed1,6,13,28.36,0.801916055788261,0.9223254324151186,0.8204525896441547,0.8569787336486493,0.8226916754539416,0.8569787336486493,0.7909960499303029,0.7505084048575501,671,0.9223254324151186,0.0546124279308135,0.0230621396540679,0.7030927835051546,0.976937860345932,0.976937860345932,0.974482937438704
flat_baseline,vit,flat,False,True,False,2,50,64,0.0003,0.05,1,0.05,basic,none,0.5,0.2,,6,flat_baseline__vit__seed2,28,35,102.29,0.8554093417463864,0.9471492632927612,0.8630925432413051,0.8933725706255774,0.8736650739367271,0.8933725706255774,0.8523486480879654,0.8119497860679531,671,0.9471492632927612,0.0366752081998718,0.016175528507367,0.693939393939394,0.983824471492633,0.983824471492633,0.981982763127904
hierarchical,vit,hier,True,True,False,0,50,64,0.0003,0.05,1,0.05,basic,none,0.5,0.2,,6,hierarchical__vit__seed0,30,37,86.51,0.8556603615514508,0.9453875720691864,0.8625529786527215,0.8796647774503281,0.8694796796928776,0.8796647774503281,0.8200981103775236,0.7764183941750953,671,0.9453875720691864,0.041319666880205,0.0132927610506085,0.7565982404692082,0.9867072389493914,0.9870275464445868,0.9860628042913304
hierarchical,vit,hier,True,True,False,1,50,64,0.0003,0.05,1,0.05,basic,none,0.5,0.2,,6,hierarchical__vit__seed1,13,20,36.81,0.8414464150073585,0.9377001921844972,0.847352040635774,0.8466259855887446,0.8443276064853248,0.8466259855887446,0.7736249366112902,0.7151946366857722,671,0.9377001921844972,0.0466047405509288,0.0156950672645739,0.7480719794344473,0.984304932735426,0.9841447789878284,0.9789799522422116
hierarchical,vit,hier,True,True,False,2,50,64,0.0003,0.05,1,0.05,basic,none,0.5,0.2,,6,hierarchical__vit__seed2,22,29,35.8,0.8459181614490812,0.9401024983984624,0.8410246858817326,0.8533980666545926,0.8458831687506106,0.8533980666545926,0.7788512521509671,0.7281367808930863,671,0.9401024983984624,0.0442024343369634,0.0156950672645739,0.7379679144385026,0.984304932735426,0.9846252402306214,0.9798330517761128
